name,price,description,features,image link,link
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_anti_shine_1080_eg.png,https://www.eg.shopbeesline.com/en/catalog/product/view/id/28/s/facial-anti-shine-mask/category/11/
Facial Blackhead Mask,EGP25.00,"A purifying peel-off mask that withdraws dirt & oil build-up embedded in the skin causing blockage to pores. Active ingredients penetrate, detoxify & tone the skin in the process.","-	DETOXIFIED SKIN
-	UNCLOGGED PORES
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_blackhead_mask_1080_eg.png,https://www.eg.shopbeesline.com/en/catalog/product/view/id/29/s/facial-blackhead-mask/category/11/
Lip Care - Flavour Free,EGP95.00,"The ultimate cure for dry, chapped lips! Soothes, moisturises & regenerates the lips sensitive skin through nature’s healing beeswax & precious oils while protecting from external irritants.","-	SMOOTH LIPS
-	SUPPLE LIPS
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_lip_care_balm_flavor_free_new.png,https://www.eg.shopbeesline.com/en/lip-care-flavour-free.html
Lip Care - Shea Butter & Avocado Oil,EGP95.00,"The ultimate cure for dry, chapped lips! Soothes, moisturises & regenerates the lips sensitive skin through nature’s healing beeswax & precious oils while protecting from external irritants.","-	SMOOTH LIPS
-	SUPPLE LIPS
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_lip_care_balm_shea_butter_and_avocado_oil.png,https://www.eg.shopbeesline.com/en/lip-care-shea-butter-avocado-oil.html
Skin Whitening Serum SPF 30,EGP250.00,"A lightweight corrective whitening serum with SPF 30 protection, formulated to hydrate & smooth fine lines while boosting radiance & evening skin tone to reveal a flawless complexion. For all skin types.","-	UV PROTECTION
-	RADIANT & CORRECTED COMPLEXION
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_whitening_facial_serum_egypt.png,https://www.eg.shopbeesline.com/en/catalog/product/view/id/167/s/skin-whitening-serum-spf-30/category/11/
Whitening Lifting Night Cream,EGP395.00,"A deeply moisturising & nourishing cream that brightens & evens skin tone while working to reduce the appearance of blemishes, fine lines & wrinkles overnight. For all skin types.","-	SUPPLE & YOUTHFUL SKIN
-	RADIANT & EVEN SKIN TONE
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_whitening_lifting_night_cream.png,https://www.eg.shopbeesline.com/en/whitening-lifting-night-cream.html
Whitening Day Cream SPF 30,EGP395.00,"A moisturising cream that leaves skin radiant, nourished & supple. Works throughout the day to reduce the appearance of blemishes & wrinkles while protecting against UV damage.","-	SUPPLE & YOUTHFUL SKIN
-	RADIANT & EVEN SKIN TONE
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_whitening_day_cream_spf_30.png,https://www.eg.shopbeesline.com/en/whitening-day-cream-spf-30.html
Lip & Eye Whitening Makeup Remover,EGP230.00,A biphasic makeup remover that swiftly removes waterproof & long-lasting makeup while targeting dark circles to promote a luminous complexion under the eyes.,"-	COMPLETE MAKEUP REMOVAL
-	RADIANT & YOUTHFUL EYES
