name,price,desciption,features,image link,link
BECCA Cosmetics Pearl Glow Lip Tint - Rose,$29.73 ,"A Lip Tint that react with your lip’s chemistry, blooming into a customized shade. - Size: 3.3 g. / 11 oz. - Color: rose",NA,https://m.media-amazon.com/images/I/41weyi1GuNL._AC_UL320_.jpg,https://www.amazon.com/BECCA-Cosmetics-Pearl-Glow-Tint/dp/B08CSD559Z/ref=sr_1_12?qid=1650061604&sr=8-12&srs=17716759011
Becca Cosmetics Prep and Set Blur Kit Primer and Powder,$12.91 ,"The primer hydrates the skin, protects it from free radicals, and blurs pores for a smooth complexion. The lightweight powder hides imperfections, sets makeup, and mattifies the skin with a touch of radiance for a smooth and natural glow-from-within look.",NA,https://m.media-amazon.com/images/I/61vBKTYBK9S._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Prep-Primer-Powder/dp/B098Q2SWZV/ref=sr_1_13?qid=1650061604&sr=8-13&srs=17716759011
Becca Light Shifter Finishing Veil Powder - 3 Star Hugger Women 0.25 oz,$25.92 ,"Coming in a deliciously weightless and buttery-smooth formula, the Light Shifter Finishing Veil powder sets make up with a sheer, flexible coverage that doesnt do away with your coveted dew.","-	Smooth, weightless formula sets makeup with undetectable coverage
-	Light Shifter Technology diffuses and reflects light for your-skin-but-better luminosity
-	The ultra-smooth powder sets makeup with sheer coverage in flexible shades that work on a range of skin tones
-	Using a brush, sweep all over the face to set makeup and perfect skin
-	Apply over your favorite foundation or tinted moisturizer for a filtering effect and satin finish.
",https://m.media-amazon.com/images/I/61bYRVqIbYL._AC_UL320_.jpg,https://www.amazon.com/Cosmetics-Shifter-Finishing-Settin-Powder/dp/B08VJM1Y6J/ref=sr_1_14?qid=1650061604&sr=8-14&srs=17716759011
"Becca Ultimate Lipstick Love, Merlot, 0.12 Ounce",$24.00 ,"The silky satin, 8-hour long-wearing lip color is infused with next generation of hyaluronic acid to hydrate and smooth the appearance of lips. The ultra-comfortable formula nourishes lips leaving them drenched in illuminated color.","-	Merlot - Cool red berry
-	Ultra-creamy, pure color pigments and light-reflecting oils deliver high impact, luxurious color in a single swipe.
-	Infused with lip-loving avocado and olive oil, the ultra-comfortable formula nourishes lips leaving them kissably smooth and drenched in illuminated color.
",https://m.media-amazon.com/images/I/71SSLtwQJ-S._AC_UL320_.jpg,https://www.amazon.com/Becca-Coconut-Scented-Massage-Lemongrass/dp/B07MTNF3CD/ref=sr_1_15?qid=1650061604&sr=8-15&srs=17716759011
"Becca Cosmetics Radiant Skin Satin Finish Foundation 1.35 fl oz., Tan",$33.00 ,"A lightweight, medium-coverage foundation that revitalizes skin and leaves a smooth, naturally radiant finish. This weightless, non-drying foundation won� t settle into fine lines or pores, but instead melts into the skin for refined and seamless coverage. It is formulated Without: - Parabens This formula is infused with an innovative oxygen complex that helps maximize your skin's oxygen usage for a revitalized complexion and natural-looking glow. It also contains no fragrances or alcohol and is suitable for all skin types. Ejitsu Rose provides brightening benefits and has anti-inflammatory properties.",NA,https://m.media-amazon.com/images/I/61UVeRuTBFL._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Radiant-Finish-Foundation/dp/B009YSOM0S/ref=sr_1_16?qid=1650061604&sr=8-16&srs=17716759011
Becca Ultimate Coverage Complexion Creme - # Fawn 30ml/1.01oz,$24.99 ,"A full-coverage yet breathable foundation in lightweight cream Formulated with a high content of pigment & water Combines a good balance of 21 % pure pigment & 22 % water Perfectly hides imperfections, redness, dark spots & uneven texture Renders you a velvety smooth & gorgeous complexion Ideal for any skin types Free of parabens, sulfates, phthalates, alcohol & fragrance","-	Makeup
",https://m.media-amazon.com/images/I/61vkrcE-4kL._AC_UL320_.jpg,https://www.amazon.com/Becca-Ultimate-Coverage-Complexion-Creme/dp/B00R53Z3ZC/ref=sr_1_17?qid=1650061604&sr=8-17&srs=17716759011
Becca Cosmetics prismatica face palette…,$19.15 ,Shade Descriptions: Hustle (plum shimmer) Hued (warm rose shimmer) Prismify (warm vanilla shimmer) Glimmer (bronze shimmer) Refract (effervescent blue pearl),NA,https://m.media-amazon.com/images/I/81mNIu3iyBL._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-prismatica-face-palette/dp/B08RR1TMP2/ref=sr_1_18?qid=1650061604&sr=8-18&srs=17716759011
Becca Cosmetics Light Shifter Finishing Veil Setting Powder - Vapor 4,$24.92 ,Get a real-life filter effect and a flawless finish with BECCA Light Shifter Finishing Veil Setting Powder. Light-shifting pigments absorb and reflect light to diffuse and illuminate skin with a weightless satin finish. The ultra-smooth powder formula sets makeup with sheer coverage in flexible shades that adapt to a wide range of skin tones.,"-	Infused with hyaluronic acid, crystallized licorice, green tea, and vitamin E
-	Smooth, weightless formula sets makeup with undetectable coverage
-	Light Shifter Technology diffuses and reflects light for your-skin-but-better luminosity
-	Unit count type: Ounce
",https://m.media-amazon.com/images/I/516Q-6-+L2S._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Shifter-Finishing-Setting/dp/B098PZNGK6/ref=sr_1_19?qid=1650061604&sr=8-19&srs=17716759011
"Becca Cosmetics Shine Ever-Matte Proof Foundation, Sandalwood",$33.99 ,"Ever-Matte Shine Proof Foundation Sandalwood gives you medium coverage that looks naturally matte, never flat or dull. Concentrated soft-focus pigments cover blemishes, redness, hyperpigmentation and uneven skin tone for a flawless, yet natural look. Creamy formula glides on effortlessly and builds beautifully so you can customize your coverage. Micro-fine oil-absorbing powders keep your skin shine-free and your shade true-to-tone, with no oxidation or colour change. Ideal for normal to oily skin. This product is cruelty-free.","-	Provide medium coverage that looks naturally matte, never flat or dull
-	Vitamins E and A provide antioxidant property benefits
-	Cover blemishes, redness, hyperpigmentation and uneven skin tone
-	Keep skin shine-free and shade true-to-tone
-	Ideal for normal to oily skin
",https://m.media-amazon.com/images/I/61nqihhAxgL._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Ever-Matte-Foundation-Sandalwood/dp/B07KFGTJRP/ref=sr_1_20?qid=1650061604&sr=8-20&srs=17716759011
Becca Cosmetics Radiant Skin Satin Finish Foundation 1.35 fl oz.,$59.82 ,Silicone emulsion makeup that delivers a satin finish Velvety smooth texture & glides on seamlessly Hides skin imperfections & gives a perfectly natural look Buildable coverage with antioxidant protection Contains sebum-absorbing properties to control excess oil & reduce unwanted shine Suitable for all skin types,"-	Shade: SAND
",https://m.media-amazon.com/images/I/61Ii-QL0A+L._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Radiant-Finish-Foundation/dp/B009YSOKGE/ref=sr_1_21?qid=1650061604&sr=8-21&srs=17716759011
"Becca Shimmering Skin Perfector Pressed Highlighter - Champagne Pop, 8 g",$40.98 ,"What it does: Find refined luminosity in any light—this formula features ultrafine luminescent pearls that absorb, reflect, and refract light so your natural radiance is never lost. Unlike the traditional pressed powder method which simply mixes and compresses dry ingredients, this unique process blends pigments with proprietary liquid binders, resulting in unparalleled, creamy application with balanced color dispersion. Like a compact full of crushed gemstones, the multi-toned, ultra-fine pigment pearls adjust to skin’s natural undertones for a truly unique glow. What it is formulated WITHOUT: - Parabens What else you need to know: For fuller-looking lips, follow lip gloss or lipstick with a dab of Shimmering Skin Perfector to the center of your lower lip. Perfection is yours to define. Polished or undone. Soft or sultry. Whatever you want to achieve, perfected skin is the essential starting point. Through premium formulas and expert tips, BECCA can help you attain a natural, effortless complexion that elevates your every look. BECCA presents a highly curated selection of cosmetics that further reveal your natural beauty rather than covering it up. By matching your skin tone, you can create perfect looking skin while highlighting your favorite features and amplifying the look with a dramatic eye or bright lip when the mood strikes. Lightweight, luxurious and advanced, BECCA makes your entire beauty routine a more enjoyable experience while still performing all day.","-	A creamy powder luminizer that absorbs and reflects light for a superb natural glow
-	Color: Champagne Pop - soft white gold w/ pinky peach undertones
",https://m.media-amazon.com/images/I/61NbMX-7RUL._AC_UL320_.jpg,https://www.amazon.com/Becca-Shimmering-Perfector-Pressed-Highlighter/dp/B01F9A8ULG/ref=sr_1_22?qid=1650061604&sr=8-22&srs=17716759011
BECCA Cosmetics Sunlit Bronzers - Color - Bronzed Bondi,NA,NA,NA,https://m.media-amazon.com/images/I/61OHywV49VL._AC_UL320_.jpg,https://www.amazon.com/BECCA-Cosmetics-Sunlit-Bronzers-Bronzed/dp/B0725CYTL6/ref=sr_1_23?qid=1650061604&sr=8-23&srs=17716759011
Becca Cosmetics BECCA Cosmetics Light Gleam Primer and Topper Liquid Eyeshadow ~ Refract,$12.90 ,NA,"-	A vegan. dual-ended liquid eyeshadow with a long-wear pigmented primer on one end and a twinkling topper on the other for multiple looks
-	Refract has a sky blue primer with a rainbow shimmer topper
-	Long-wear, non-creasing, ophthalmologist tested
-	Formulated Without: animal byproduct, parabens, phthalates and sulfates, PETA certified cruelty-free
-	Full size .12 fl oz/ 3.12 mL, boxed packaging
-	Unit count type: Count
",https://m.media-amazon.com/images/I/31PaiYP8bFS._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Primer-Eyeshadow-Refract/dp/B095123SJJ/ref=sr_1_24?qid=1650061604&sr=8-24&srs=17716759011
Becca Cosmetics Light Gleam Primer & Topper Liquid Eyeshadow Lunar 0.12 FL OZ,$18.50 ,"A vegan. dual-ended liquid eyeshadow with a long-wear pigmented primer on one end and a twinkling topper on the other for multiple looks Formulated Without: animal byproduct, parabens, phthalates and sulfates, PETA certified cruelty-free Full size 0.12 fl oz/ 3.7ml",NA,https://m.media-amazon.com/images/I/413q4MZfznS._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Primer-Topper-Eyeshadow/dp/B0985VBZ3T/ref=sr_1_25?qid=1650061604&sr=8-25&srs=17716759011
"Becca Ultimate Lipstick Love, Maroon, 0.12 Ounce",$19.00 ,"The silky satin, 8-hour long-wearing lip color is infused with next generation of hyaluronic acid to hydrate and smooth the appearance of lips. The ultra-comfortable formula nourishes lips leaving them drenched in illuminated color.","-	A moisturizing, 8-hour long-wearing silky satin lip color
-	Infused with the next generation of hyaluronic acid
-	The ultra-comfortable formula nourishes lips leaving them kissably smooth and drenched in illuminated color
",https://m.media-amazon.com/images/I/71+-+Q2kRUS._AC_UL320_.jpg,https://www.amazon.com/Becca-Asian-Scented-Massage-Dreams/dp/B07MTNM8LB/ref=sr_1_26?qid=1650061604&sr=8-26&srs=17716759011
BECCA PEARL GLOW SHIMMERING EYE PALETTE,$55.00 ,"Bestow a veil of luminous color across your eyes with the Becca pearl glow shimmering eye palette, embodying the glistening qualities of pearls that the palette is inspired by. Sweep the dark matte shades, like Exotic Black Pearl, through the crease then highlight the lid with intense shimmer shades like Fresh Water. For an intense pop of pigment, apply with your finger for full color payoff, Shimmer finish, Pressed powder, Intense pigment with a lightweight feel",NA,https://m.media-amazon.com/images/I/51l6Gi9i8fL._AC_UL320_.jpg,https://www.amazon.com/BECCA-PEARL-GLOW-SHIMMERING-PALETTE/dp/B082HFCTPF/ref=sr_1_27?qid=1650061604&sr=8-27&srs=17716759011
BECCA Ever-Matte Shine Proof Foundation - Sienna,$34.50 ,Becca Matte Skin/shine -Proof Foundation - Sienna - New - Becca,"-	Becca
",https://m.media-amazon.com/images/I/718BgpI9yUL._AC_UL320_.jpg,https://www.amazon.com/BECCA-Ever-Matte-Shine-Proof-Foundation/dp/B00DDDU84E/ref=sr_1_28?qid=1650061604&sr=8-28&srs=17716759011
"Becca Cosmetics Iconics Prime, Brighten and Glow Trio Kit",NA,"A trio of iconic BECCA products together in travel size. It contains Shimmering Skin Perfector Pressed Highlighter in Opal lights up your favourite features with high-impact, ultra-reflective shine. Comprised of BECCAs proprietary mineral pearl blend, this iconic formula is enriched with ultra-fine, luminescent pearls that absorb, reflect and refract light to amplify your natural radiance. First Light Priming Filter is a wake-up call that instantly brightens lacklustre, dull skin to refresh the complexion. Creates a hydrated and healthy glowing canvas for all day makeup wear. Under Eye, Brightening Corrector is like sleep in a jar. This full coverage crème corrector brightens and eradicates the appearance of under-eye darkness. Infused with ultra-fine light reflecting illuminators, it instantly gives you a well-rested look. Includes: Shimmering Skin Perfector Pressed in Opal 8 g, Under Eye Brightening Corrector 2.36 ml and First Light Priming Filter 15 ml.","-	Creating a fresh, natural-looking, glow on the go
-	Infused with ultra-fine light reflecting illuminators
-	Ultra-fine, multi-toned pigment pearls
-	Give you a brighter, more rested appearance
-	Buttery soft cream texture
",https://m.media-amazon.com/images/I/41EEA+94QPL._AC_UL320_.jpg,https://www.amazon.com/Becca-Prime-Brighten-Glow-Trio/dp/B07D5LZNF3/ref=sr_1_29?qid=1650061604&sr=8-29&srs=17716759011
0.04 oz Jewel Dust Sparkling Powder For Eyes - # Erzulie,NA,Jewel Dust Sparkling Powder For Eyes - # Erzulie by Becca for Women - 0.04 oz Powder,NA,https://m.media-amazon.com/images/I/71KA6TzC8JL._AC_UL320_.jpg,https://www.amazon.com/0-04-Jewel-Dust-Sparkling-Powder/dp/B004GLUXWO/ref=sr_1_30?qid=1650061604&sr=8-30&srs=17716759011
Becca Cosmetics Eye Colour - Powder Shimmer 0.03 oz.,$24.00 ,"Richly pigmented powder with super-fine shimmer Gives soft sheen & flattering luminous matte finish for eyes Optically minimizes look of fine lines & skin discoloration Velvety smooth, crease-resistant & easily adheres onto skin Free of fragrance & preservatives Applied wet or dry for desired makeup effect","-	Provides long-lasting, crease-resistant color to the eye area
-	Flip-top packaging is equipped with a miniature, magnifying mirror
-	Silky-smooth texture glides on easily and evenly
-	Perfect for use with any other Becca powder or cream eye color
-	Velvet is a shimmery black shade
",https://m.media-amazon.com/images/I/515zSDvFqgL._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Eye-Colour-Shimmer/dp/B002LE4SJM/ref=sr_1_31?qid=1650061604&sr=8-31&srs=17716759011
Becca Cosmetics Eye Colour Blender Brush - 35 0.03 oz.,$31.00 ,"Slightly tapered brush for blending eye shadow & softening harsh lines Perfectly creates a softer, superb look Utilizes sable hair which is soft & flexible to hold powder color well Features a wooden handle to ensure optimal weight of the brush Individually handcrafted","-	This ultra-soft brush is made of the world's highest quality Sable hair and renewable-resource, plantation-grown wood
-	Ideal for blending eye colors, smoothing harsh lines or applying light layers of color
-	This slightly tapered brush provides precise and easy application
-	Ideal for use with your favorite Becca eye colors
-	No animals are harmed by Becca during the manufacturing of Becca brushes
",https://m.media-amazon.com/images/I/31qF3socJGS._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Colour-Blender-Brush/dp/B000M48SBW/ref=sr_1_32?qid=1650061604&sr=8-32&srs=17716759011
